language,stopword
Sinhala,ඔබ
Sinhala,මට
Sinhala,ඇයි
Sinhala,එය
Sinhala,මේ
Sinhala,හෝ
Sinhala,අප
Sinhala,ඔබට
Sinhala,ඇත
Sinhala,එම
Sinhala,එහි
Sinhala,කෙසේද
Sinhala,මෙය
Sinhala,සිට
Sinhala,බලන්න
Sinhala,නිසා
Sinhala,යුතු
Sinhala,දැන්
Sinhala,වහා
Sinhala,එහෙත්
Sinhala,තවත්
Sinhala,ඔහු
Sinhala,ඇගේ
Sinhala,ද
Sinhala,කී
Sinhala,නම්
Sinhala,ය
Sinhala,පසු
Sinhala,කෙටියෙන්
Sinhala,දැනට
Sinhala,ඉදිරියට
Sinhala,විශේෂයෙන්
Sinhala,උත්තර
Sinhala,වට
Sinhala,එකට
Sinhala,අවශ්‍ය
Sinhala,සිදු
Sinhala,අද
Sinhala,හැකි
Sinhala,මෙම
Sinhala,ඔවුන්
Sinhala,නමුත්
Sinhala,දුර
Sinhala,උදව්
Sinhala,ලබා
Sinhala,සැම
Sinhala,වෙනස්
Sinhala,සමඟ
Sinhala,ගොඩනැගීම
Sinhala,එක්
Sinhala,එක
Sinhala,තමන්
Sinhala,ලෙස
Sinhala,ඉක්මනින්
Sinhala,අනෙකුට
Sinhala,මීට
Sinhala,මත
Sinhala,ඉස්සර
Sinhala,නිකුත්
Sinhala,මගේ
Sinhala,ඔබේ
Sinhala,සතු
Sinhala,ප්‍රාණවත්
Sinhala,අතර
Sinhala,එච්චර
Sinhala,එවිට
Sinhala,ඒ
Sinhala,කට
Sinhala,කදී
Sinhala,ක්
Sinhala,කින්
Sinhala,ට
Sinhala,ත්
Sinhala,තුර
Sinhala,නොහොත්
Sinhala,පමණ
Sinhala,පමණි
Sinhala,ම
Sinhala,මෙච්චර
Sinhala,මෙලෙස
Sinhala,මෙවිට
Sinhala,යි
Sinhala,ලදී
Sinhala,වගේ
Sinhala,වන
Sinhala,විට
Sinhala,විතර
Sinhala,විය
Sinhala,වුව
Sinhala,වුවත්
Sinhala,වුවද
Sinhala,වූ
Sinhala,සහ
Sinhala,හා
Sinhala,හෙවත්
Sinhala,සමග
Sinhala,අහා
Sinhala,ආහ්
Sinhala,ආ
Sinhala,ඕහෝ
Sinhala,අනේ
Sinhala,අඳෝ
Sinhala,අපොයි
Sinhala,අපෝ
Sinhala,අයියෝ
Sinhala,ආයි
Sinhala,ඌයි
Sinhala,හෝ‍
Sinhala,දෝ
Sinhala,දෝහෝ
Sinhala,සේ
Sinhala,වැනි
Sinhala,බඳු
Sinhala,වන්
Sinhala,අයුරු
Sinhala,අයුරින්
Sinhala,වැඩි
Sinhala,ශ්‍රී
Sinhala,නිසාවෙන්
Sinhala,බවට
Sinhala,බව
Sinhala,බවෙන්
Sinhala,වැඩි
Sinhala,දී
Sinhala,මහා
Sinhala,මහ
Sinhala,පමණින්
Sinhala,වන
Sinhala,විට
Sinhala,විටින්
Sinhala,මෙයින්
Sinhala,ඇති
Sinhala,වශයෙන්
Sinhala,යන
Sinhala,සඳහා
Sinhala,මගින්
Sinhala,හෝ‍
Sinhala,ඉතා
Sinhala,ඒ
Sinhala,විසින්
Sinhala,පිළිබඳව
Sinhala,පිළිබඳ
Sinhala,තුළ
Sinhala,බව
Sinhala,වැනි
Sinhala,මහ
Sinhala,මෙහි
Sinhala,වෙත
Sinhala,වෙතින්
Sinhala,වෙතට
Sinhala,වෙනුවෙන්
Sinhala,වෙනුවට
Sinhala,වෙන
Sinhala,ගැන
Sinhala,නෑ
Sinhala,අනුව
Sinhala,නව
Sinhala,පිළිබඳ
Sinhala,විශේෂ
Sinhala,දැනට
Sinhala,එහෙන්
Sinhala,මෙහෙන්
Sinhala,එහේ
Sinhala,මෙහේ
Sinhala,ම
Sinhala,තව 
Sinhala,සහ
Sinhala,දක්වා
Sinhala,ගේ
Sinhala,එ
Sinhala,ක
Sinhala,ක්
Sinhala,බවත්
Sinhala,බවද
Sinhala,ඇතුලු
Sinhala,මෙසේ
Sinhala,වඩා
Sinhala,වඩාත්ම
Sinhala,නිති
Sinhala,නිතිත්
Sinhala,නිතොර
Sinhala,නිතර
Sinhala,යලි
Sinhala,පුන
Sinhala,ඉතින්
Sinhala,සිටන්
Sinhala,පටන්
Sinhala,තෙක්
Sinhala,දක්වා
Sinhala,සා
Sinhala,තාක්
Sinhala,තුවක්
Sinhala,පවා
Sinhala,හෝ‍
Sinhala,වත්
Sinhala,විනා
Sinhala,හැර
Sinhala,මිස
Sinhala,මුත්
Sinhala,කිම
Sinhala,කිම්
Sinhala,මන්ද
Sinhala,හෙවත්
Sinhala,නොහොත්
Sinhala,පතා
Sinhala,පාසා
Sinhala,ගානෙ
Sinhala,තව
Sinhala,ඉතා
Sinhala,බොහෝ
Sinhala,සැනින්
Sinhala,ඉඳුරා
Sinhala,අන්න
Sinhala,ඔන්න
Sinhala,මෙන්න
Sinhala,උදෙසා
Sinhala,පිණිස
Sinhala,එනිසා
Sinhala,එබැවින්
Sinhala,බැවින්
Sinhala,ගැන
Sinhala,අනුව
Sinhala,විට
Sinhala,තෙක්
Sinhala,මෙතෙක්
Sinhala,මේතාක්
Sinhala,තුරු
Sinhala,තුරා
Sinhala,තුරාවට
Sinhala,තුලින්
Sinhala,එනමුත්
Sinhala,මෙන්
Sinhala,පරිදි
Sinhala,සුභ
Sinhala,තියෙන්නේ
Sinhala,ඉදලා 
Sinhala,ඔයා 
Sinhala,ඒක 
Sinhala,අපි
Sinhala,ඔයාට
Sinhala,තියනවා 
Sinhala,කොහොමද 
Sinhala,කවුද 
Sinhala,කවදාද 
Sinhala,කීයටද 
Sinhala,කොහෙදිද
Sinhala,හින්දා
Sinhala,ඒවුනාට 
Sinhala,තාම 
Sinhala,එයාගෙ 
Sinhala,පස්සේ 
Sinhala,ඉස්සරහට
Sinhala,එයාලා
Sinhala,එතකොට 
Sinhala,වුනත් 
Sinhala,විදියට 
Sinhala,න් 
Sinhala,කවදාද
Sinhala,මොනවද
Sinhala,කොහෙද
Sinhala,වෙනවා
Sinhala,සමහර
Sinhala,මම
Sinhala,ඔහුගේ
Sinhala,කියන්න
Sinhala,හොඳ
Sinhala,කවදාවත්
Sinhala,හරියටම
Sinhala,එපා
Sinhala,ගොඩක්
Sinhala,නෑ
Sinhala,තත්ත්වය
Sinhala,වේවා
Sinhala,වලට
Sinhala,මොකක්ද
Sinhala,මොනවාද
Sinhala,කන්න
Sinhala,කොහේද 
Sinhala,කොච්චර 
Sinhala,ඔව්
Tamil,ஒரு
Tamil,என்று
Tamil,மற்றும்
Tamil,இந்த
Tamil,இது
Tamil,என்ற
Tamil,கொண்டு
Tamil,என்பது
Tamil,பல
Tamil,ஆகும்
Tamil,அல்லது
Tamil,அவர்
Tamil,நான்
Tamil,உள்ள
Tamil,அந்த
Tamil,இவர்
Tamil,என
Tamil,முதல்
Tamil,என்ன
Tamil,இருந்து
Tamil,சில
Tamil,என்
Tamil,போன்ற
Tamil,வேண்டும்
Tamil,வந்து
Tamil,இதன்
Tamil,அது
Tamil,அவன்
Tamil,தான்
Tamil,பலரும்
Tamil,என்னும்
Tamil,மேலும்
Tamil,பின்னர்
Tamil,கொண்ட
Tamil,இருக்கும்
Tamil,தனது
Tamil,உள்ளது
Tamil,போது
Tamil,என்றும்
Tamil,அதன்
Tamil,தன்
Tamil,பிறகு
Tamil,அவர்கள்
Tamil,வரை
Tamil,அவள்
Tamil,நீ
Tamil,ஆகிய
Tamil,இருந்தது
Tamil,உள்ளன
Tamil,வந்த
Tamil,இருந்த
Tamil,மிகவும்
Tamil,இங்கு
Tamil,மீது
Tamil,ஓர்
Tamil,இவை
Tamil,இந்தக்
Tamil,பற்றி
Tamil,வரும்
Tamil,வேறு
Tamil,இரு
Tamil,இதில்
Tamil,போல்
Tamil,இப்போது
Tamil,அவரது
Tamil,மட்டும்
Tamil,இந்தப்
Tamil,எனும்
Tamil,மேல்
Tamil,பின்
Tamil,சேர்ந்த
Tamil,ஆகியோர்
Tamil,எனக்கு
Tamil,இன்னும்
Tamil,அந்தப்
Tamil,அன்று
Tamil,ஒரே
Tamil,மிக
Tamil,அங்கு
Tamil,பல்வேறு
Tamil,விட்டு
Tamil,பெரும்
Tamil,அதை
Tamil,பற்றிய
Tamil,உன்
Tamil,அதிக
Tamil,அந்தக்
Tamil,பேர்
Tamil,இதனால்
Tamil,அவை
Tamil,அதே
Tamil,ஏன்
Tamil,முறை
Tamil,யார்
Tamil,என்பதை
Tamil,எல்லாம்
Tamil,மட்டுமே
Tamil,இங்கே
Tamil,அங்கே
Tamil,இடம்
Tamil,இடத்தில்
Tamil,அதில்
Tamil,நாம்
Tamil,அதற்கு
Tamil,எனவே
Tamil,பிற
Tamil,சிறு
Tamil,மற்ற
Tamil,விட
Tamilஎந்த
Tamil,எனவும்
Tamil,எனப்படும்
Tamil,எனினும்
Tamil,அடுத்த
Tamil,இதனை
Tamil,இதை
Tamil,கொள்ள
Tamil,இந்தத்
Tamil,இதற்கு
Tamil,அதனால்
Tamil,தவிர
Tamil,போல
Tamil,வரையில்
Tamil,சற்று
Tamil,எனக்
Tamil,ஹலோ 
